year,transistors,max_clock,clock,tdp,vdd_high,vdd_low
2006.0,1328.0,3400.0,3400.0,150.0,1.35,1.1
2006.0,291.0,2333.0,2333.0,65.0,1.5,1.0
2006.0,582.0,2660.0,2660.0,130.0,1.5,0.85
2006.0,376.0,2800.0,2800.0,95.0,1.3375,1.2
2006.0,376.0,3460.0,3460.0,130.0,1.3375,1.2
2006.0,376.0,3000.0,3000.0,95.0,1.3375,1.2
2006.0,291.0,2930.0,2930.0,75.0,1.5,0.85
2006.0,291.0,1860.0,1860.0,65.0,1.5,1.0
2006.0,291.0,2667.0,2667.0,130.0,1.34,1.34
2006.0,376.0,3730.0,3730.0,130.0,1.3375,1.2
2006.0,151.0,2160.0,2160.0,31.0,1.275,1.1125
2006.0,376.0,3000.0,3000.0,95.0,1.3375,1.2
2006.0,151.0,1830.0,1830.0,31.0,1.3,1.1625
2006.0,151.0,2167.0,2167.0,31.0,1.3,1.1625
2006.0,291.0,1600.0,1600.0,65.0,1.5,1.0
2006.0,151.0,2330.0,2330.0,31.0,1.3,1.1625
2006.0,291.0,2000.0,2000.0,65.0,1.5,1.0
2006.0,376.0,3200.0,3200.0,130.0,1.3375,1.2
2006.0,376.0,3400.0,3400.0,95.0,1.3375,1.2
2006.0,291.0,2660.0,2660.0,65.0,1.5,1.0
2007.0,582.0,1860.0,1860.0,50.0,1.25,1.1
2007.0,790.0,3500.0,3500.0,160.0,1.2,0.8
2007.0,820.0,3200.0,3200.0,150.0,1.35,0.85
2007.0,,1600.0,1600.0,20.0,1.125,1.075
2007.0,1720.0,1660.0,1660.0,104.0,,
2007.0,167.0,2130.0,2130.0,65.0,1.5,0.85
2007.0,227.0,3100.0,3100.0,125.0,1.35,1.3
2007.0,167.0,1860.0,1860.0,65.0,1.5,0.85
2007.0,790.0,3800.0,3800.0,160.0,1.2,0.8
2007.0,291.0,2400.0,2400.0,65.0,1.5,0.85
2007.0,291.0,2330.0,2330.0,65.0,1.5,0.85
2007.0,291.0,2660.0,2660.0,65.0,1.5,0.85
2007.0,291.0,2660.0,2660.0,65.0,1.3625,0.85
2007.0,105.0,1600.0,1600.0,65.0,1.5,0.85
2007.0,105.0,1800.0,1800.0,65.0,1.312,1.162
2007.0,1720.0,1660.0,1660.0,104.0,,
2007.0,167.0,2400.0,2400.0,65.0,1.5,0.85
2007.0,582.0,3000.0,3000.0,130.0,1.5,0.85
2007.0,227.0,3200.0,3200.0,125.0,1.4,1.35
2007.0,820.0,3000.0,3000.0,120.0,1.35,0.85
2007.0,790.0,4700.0,4700.0,160.0,1.2,0.8
2007.0,820.0,3000.0,3000.0,120.0,1.35,0.85
2007.0,410.0,3333.0,3330.0,80.0,1.35,0.85
2007.0,153.8,2000.0,2000.0,31.0,1.125,1.125
2007.0,167.0,1800.0,1800.0,65.0,1.5,0.85
2007.0,291.0,2666.0,2666.0,65.0,1.5,0.85
